input_text,target_text
I'll have three apples. A woman gives 4 apples to the man. How many apples does the man have?,A man has 3 apples. A woman gives 4 apples to the man. How many apples does the man have?
A man has 3 apples. She gives him four apples. How many apples does the man have?,A man has 3 apples. A woman gives 4 apples to the man. How many apples does the man have?
A man has 3 apples. A woman gives 4 apples to the man. How many apples do people have?,A man has 3 apples. A woman gives 4 apples to the man. How many apples does the man have?
I'll have three apples. She gives him four apples. How many apples do people have?,A man has 3 apples. A woman gives 4 apples to the man. How many apples does the man have?
A man has 3 apples. A woman gives 4 apples to the man. How many apples does the man have?,A man has 3 apples. A woman gives 4 apples to the man. How many apples does the man have?
There's a ball. A man gives 9 balls to the woman. How many balls does the woman have?,A woman has 1 ball. A man gives 9 balls to the woman. How many balls does the woman have?
A woman has 1 ball. An unidentified man gave her nine balls. How many balls does the woman have?,A woman has 1 ball. A man gives 9 balls to the woman. How many balls does the woman have?
A woman has 1 ball. A man gives 9 balls to the woman. A girl has a ball?,A woman has 1 ball. A man gives 9 balls to the woman. How many balls does the woman have?
There's a ball. An unidentified man gave her nine balls. A girl has a ball?,A woman has 1 ball. A man gives 9 balls to the woman. How many balls does the woman have?
A woman has 1 ball. A man gives 9 balls to the woman. How many balls does the woman have?,A woman has 1 ball. A man gives 9 balls to the woman. How many balls does the woman have?
One boy has 8 bananas in his hand. A girl gives 1 banana to the boy. How many bananas does the boy have?,A boy has 8 bananas. A girl gives 1 banana to the boy. How many bananas does the boy have?
A boy has 8 bananas. A girl gave him a banana. How many bananas does the boy have?,A boy has 8 bananas. A girl gives 1 banana to the boy. How many bananas does the boy have?
A boy has 8 bananas. A girl gives 1 banana to the boy. Does he have a banana?,A boy has 8 bananas. A girl gives 1 banana to the boy. How many bananas does the boy have?
One boy has 8 bananas in his hand. A girl gave him a banana. Does he have a banana?,A boy has 8 bananas. A girl gives 1 banana to the boy. How many bananas does the boy have?
A boy has 8 bananas. A girl gives 1 banana to the boy. How many bananas does the boy have?,A boy has 8 bananas. A girl gives 1 banana to the boy. How many bananas does the boy have?
