index,problem,answer
1.1.1,A man had 3 apples. A woman gave 4 apples to the man. How many apples did the man have?,7
1.1.2,A woman had 1 ball. A man gave 9 balls to the woman. How many balls did the woman have?,10
1.1.3,A boy had 8 bananas. A girl gave 1 banana to the boy. How many bananas did the boy have?,9
1.1.4,A girl had 3 melons. A boy gave 6 melons to the girl. How many melons did the girl have?,9
1.2.1,A restaurant had 175 normal chairs and 20 junior chairs. How many chairs did the restaurant have?,195
1.2.2,A store had 375 black shirts and 40 white shirts. How many shirts did the store have?,415
1.2.3,A club had 100 dutch players and 110 belgian players. How many players did the club have?,210
1.2.4,A school had 50 male students and 90 female students. How many students did the school have?,140
1.3.1,A man had 320 brown cookies and 270 white cookies. How many cookies did the man have?,590
1.3.2,A city had 400 old houses and 50 new houses. How many houses did the city have?,450
1.3.3,A zoo had 123 brown animals and 55 white animals. How many animals did the zoo have?,178
1.3.4,A game had 200 male characters and 200 female characters. How many characters did the game have?,400
1.4.1,A man had 2 books. He got 2 books from a library. The man got 4 books from a friend. How many books did the man have?,8
1.4.2,A woman had 2 pillows. She got 2 pillows from a store. The woman got 2 pillows from a friend. How many pillows did the woman have?,6
1.4.3,A kid had 4 toys. The kid got 8 toys from a organization. The kid got 3 toys from a mother. How many toys did the kid have?,15
1.4.4,A businessman had 2 cars. The businessman got 1 car from a business. The businessman got 3 cars from a partner. How many cars did the businessman have?,6
2.1.1,A pizzeria had 3 pizzas. A customer bought 1 pizza from the pizzeria. How many pizzas did the pizzeria have?,2
2.1.2,A boy had 15 toys. A friend stole 3 toys. How many toys did the boy have?,12
2.1.3,A store had 20 shirts. The store sold 5 shirts. How many shirts did the store have?,15
2.1.4,A aquarium had 13 fish. 2 fish died. How many fish did the aquarium have?,11
2.2.1,A man had 20 euros. He lost 10 euros. How many euros did the man have?,10
2.2.2,A dog had 2 birds. 1 bird flew from the dog. How many birds did the dog have?,1
2.2.3,A landlord had 10 houses. The landlord sold 2 houses. How many houses did the landlord have?,8
2.2.4,A woman had 15 dollars. She lost 5 dollars. How many dollars did she have?,10
2.3.1,A man had 1000 ants. He sold 213 ants. How many ants did he have?,787
2.3.2,An investor had 1200 bitcoin. The investor sold 444 bitcoin. How many bitcoin did the investor have?,756
2.3.3,A trader had 1500 stocks. The trader sold 1200 stocks. How many stocks did the trader have?,300
2.3.4,A big company had 2211 airplanes. The company sold 555 airplanes. How many airplanes did the company have?,1656
2.4.1,A teacher had 30 pencils. The teacher gave 2 pencils to a girl. The teacher gave 3 pencils to a boy. How many pencils did the teacher have?,25
2.4.1,A mother had 10 cookies. The mother gave 3 cookies to a son. The mother gave 6 cookies to a daughter. How many cookies did the mother have?,1
2.4.1,A girl had 25 coins. The girl gave 6 coins to a friend. The girl gave 12 coins to a mother. How many coins did the girl have?,7
2.4.1,A boy had 25 books. The boy gave 3 books to a friend. The boy gave 9 books to a teacher. How many books did the boy have?,13
3.1.1,There was a boy. There was a girl. A man had 4 pieces. If he had 2 pieces then the girl got 1 piece from the man and the boy got 1 piece from the man. How many pieces did the boy have?,2
3.1.2,There was a man. There was a woman. A bread had 24 slices. If a bread had 2 slices then the man got 1 slice of the bread and the woman got 1 slice of the bread. How many slices did the woman have?,12
3.1.3,There was a mother. There was a father. A bottle had 6 glasses. If a bottle had 2 glasses then the father got 1 glass from the bottle and the mother got 1 glass from the bottle. How many glasses did the mother have?,3
3.1.4,There was a boyfriend. There was a girlfriend. A wallet had 100 euros. If the wallet had 2 euros then the boyfriend got 1 euro from the wallet and the girlfriend got1 euro from the wallet. How many euros did the boyfriend have?,50
3.2.1,A man had 10 tickets. If he had 5 tickets then he got a ride. How many rides did he get?,2
3.2.2,A school had 100 students. If it had 25 students then it got a class. How many classes did the school have?,4
3.2.3,A woman had 100 coupons. If she had 20 coupons then she had 1 plate. How many plates did she get?,5
3.2.4,A boy worked 48 weeks. If he worked 4 weeks then he had 1 free-day. How many free-days did the boy have?,12
3.3.1,A man had 1000 euros. If the man had at least 50 euros then he bought a laptop. How many laptops did the man buy?,200
3.3.2,A woman had 12 eggs. If she had 2 eggs then she baked a cake. How many cakes did the woman bake?,6
3.3.3,An athlete ran 60 minutes. If the athlete ran 10 minutes then the athlete ran 3 laps. How many laps did the athlete run?,18
3.3.4,A student had 500 euros. If the student had at least 250 euros then the student bought a bike. How many bikes did the student buy?,2
3.4.1,A man had 1000 euros. If he had at least 50 euros then he bought a laptop for 50 euros. How many euros did the man buy?,0
3.4.2,A woman had 500 dollars. If she had at least 28 dollars then she bought a lipstick for 28 dollars. How many dollars did the woman have?,24
3.4.3,A man had 100 dollars. If he had at least 30 dollars then he bought a game for 30 dollars. How many dollars did the man have?,10
3.4.4,A woman had 200 euros. If she had at least 80 euros then she bought a handbag for 80 euros. How many euros did the woman have?,40
4.1.1,A man had 2 cards. Each of the cards had 2 hearts. How many hearts did the cards have?,42
4.1.2,A student had 3 books. Each of the books had 14 chapters. How many chapters did the student have to read?,4
4.1.3,A grandmother had 7 grandchilderen. Each grandchild wanted two presents. How many presents did the grandmother buy?,14
4.1.4,A house had 5 doors. Each door had 3 locks. How many locks did the house have?,15
4.2.1,A theatre had 25 rows. Each row had 20 seats. How many seats did the theatre have?,500
4.2.2,A school had 14 classrooms. Each classroom had 28 chairs. How many chairs did the school have?,392
4.2.3,A bunny had 2 baskets. Each basket had 14 eggs. How many eggs did the bunny have?,28
4.2.4,An influencer had two accounts. Each account had 500 followers. How many followers did the influencer have?,1000
4.3.1,An area had 10 rows. Each row had 10 columns. Each column had 2 flowers. How many flowers did the area have?,200
4.3.2,An store had 52 cars. Each car had 4 doors. Each door had 1 handle. How many handles did the store have?,208
4.3.3,An area had 10 rows. Each row had 10 columns. Each column had 2 flowers. How many flowers did the area have?,200
4.3.4,An man had 2 women. Each woman had 3 kids . Each kid neded 1 coat. How many coats did the man have to buy?,6
4.4.1,A year had 365 days. Each day had 24 hours. Each hour had 60 minutes. Each minute had 60 seconds. How many seconds did the year have?,31536000
4.4.2,A year had 52 weeks. Each week had 7 days. Each day had 24 hours. Each hour had 60 minutes. How many minutes did the year have?,1440
4.4.3,A school had 15 classes. Each class had 25 students. Each student had 2 legs. Each leg had 1 shoe. How many shoes did the school have?,750
