input_text,target_text
A man has 3 apples. A woman gives 4 apples to the man. How many apples does the man have?,A man has 3 apples. A woman gives 4 apples to the man. How many apples does the man have?
A woman has 1 ball. A man gives 9 balls to the woman. How many balls does the woman have?,A woman has 1 ball. A man gives 9 balls to the woman. How many balls does the woman have?
A boy has 8 bananas. A girl gives 1 banana to the boy. How many bananas does the boy have?,A boy has 8 bananas. A girl gives 1 banana to the boy. How many bananas does the boy have?
A girl has 3 melons. A boy gives 6 melons to the girl. How many melons does the girl have?,A girl has 3 melons. A boy gives 6 melons to the girl. How many melons does the girl have?
A restaurant has 175 normal chairs. The restaurant has 20 junior chairs. How many chairs does the restaurant have?,A restaurant has 175 normal chairs. The restaurant has 20 junior chairs. How many chairs does the restaurant have?
A store has 375 black shirts. The store has 40 white shirts. How many shirts does the store have?,A store has 375 black shirts. The store has 40 white shirts. How many shirts does the store have?
A club has 100 dutch players. The club has 110 belgian players. How many players does the club have?,A club has 100 dutch players. The club has 110 belgian players. How many players does the club have?
A school has 50 male students. The school has 90 female students. How many students does the school have?,A school has 50 male students. The school has 90 female students. How many students does the school have?
A man has 320 brown cookies. The man has 270 white cookies. How many cookies does the man have?,A man has 320 brown cookies. The man has 270 white cookies. How many cookies does the man have?
A city has 400 old houses. The city has 50 new houses. How many houses does the city have?,A city has 400 old houses. The city has 50 new houses. How many houses does the city have?
A zoo has 123 brown animals. The zoo has 55 white animals. How many animals does the zoo have?,A zoo has 123 brown animals. The zoo has 55 white animals. How many animals does the zoo have?
A game has 200 male characters. The game has 200 female characters. How many characters does the game have?,A game has 200 male characters. The game has 200 female characters. How many characters does the game have?
A man has 2 books. He gets 2 books from a library. The man gets 4 books from a friend. How many books does the man have?,A man has 2 books. He gets 2 books from a library. The man gets 4 books from a friend. How many books does the man have?
A woman has 2 pillows. She gets 2 pillows from a store. The woman gets 2 pillows from a friend. How many pillows does the woman have?,A woman has 2 pillows. She gets 2 pillows from a store. The woman gets 2 pillows from a friend. How many pillows does the woman have?
A kid has 4 toys. The kid gets 8 toys from a organization. The kid gets 3 toys from a mother. How many toys does the kid have?,A kid has 4 toys. The kid gets 8 toys from a organization. The kid gets 3 toys from a mother. How many toys does the kid have?
A businessman has 2 cars. The businessman gets 1 car from a business. The businessman gets 3 cars from a partner. How many cars does the businessman have?,A businessman has 2 cars. The businessman gets 1 car from a business. The businessman gets 3 cars from a partner. How many cars does the businessman have?
A pizzeria has 3 pizzas. A customer buys 1 pizza from the pizzeria. How many pizzas does the pizzeria have?,A pizzeria has 3 pizzas. A customer buys 1 pizza from the pizzeria. How many pizzas does the pizzeria have?
A boy has 15 toys. A friend steals 3 toys from the boy. How many toys does the boy have?,A boy has 15 toys. A friend steals 3 toys from the boy. How many toys does the boy have?
A store has 20 shirts. The store sells 5 shirts. How many shirts does the store have?,A store has 20 shirts. The store sells 5 shirts. How many shirts does the store have?
An aquarium has 13 fish. The aquarium loses 2 fish. How many fish does the aquarium have?,An aquarium has 13 fish. The aquarium loses 2 fish. How many fish does the aquarium have?
A man has 20 euros. He loses 10 euros. How many euros does the man have?,A man has 20 euros. He loses 10 euros. How many euros does the man have?
A dog has 2 birds. 1 bird flees from the dog. How many birds does the dog have?,A dog has 2 birds. 1 bird flees from the dog. How many birds does the dog have?
A landlord has 10 houses. The landlord sells 2 houses. How many houses does the landlord have?,A landlord has 10 houses. The landlord sells 2 houses. How many houses does the landlord have?
A woman has 15 dollars. She loses 5 dollars. How many dollars does she have?,A woman has 15 dollars. She loses 5 dollars. How many dollars does she have?
A man has 1000 ants. He sells 213 ants. How many ants does he have?,A man has 1000 ants. He sells 213 ants. How many ants does he have?
An investor has 1200 bitcoin. The investor sells 444 bitcoin. How many bitcoin does the investor have?,An investor has 1200 bitcoin. The investor sells 444 bitcoin. How many bitcoin does the investor have?
A trader has 1500 stocks. The trader sells 1200 stocks. How many stocks does the trader have?,A trader has 1500 stocks. The trader sells 1200 stocks. How many stocks does the trader have?
A big company has 2211 airplanes. The company sells 555 airplanes. How many airplanes does the company have?,A big company has 2211 airplanes. The company sells 555 airplanes. How many airplanes does the company have?
A teacher has 30 pencils. The teacher gives 2 pencils to a girl. The teacher gives 3 pencils to a boy. How many pencils does the teacher have?,A teacher has 30 pencils. The teacher gives 2 pencils to a girl. The teacher gives 3 pencils to a boy. How many pencils does the teacher have?
A mother has 10 cookies. The mother gives 3 cookies to a son. The mother gives 6 cookies to a daughter. How many cookies does the mother have?,A mother has 10 cookies. The mother gives 3 cookies to a son. The mother gives 6 cookies to a daughter. How many cookies does the mother have?
A girl has 25 coins. The girl gives 6 coins to a friend. The girl gives 12 coins to a mother. How many coins does the girl have?,A girl has 25 coins. The girl gives 6 coins to a friend. The girl gives 12 coins to a mother. How many coins does the girl have?
A boy has 25 books. The boy gives 3 books to a friend. The boy gives 9 books to a teacher. How many books does the boy have?,A boy has 25 books. The boy gives 3 books to a friend. The boy gives 9 books to a teacher. How many books does the boy have?
There is a boy. There is a girl. A man has 4 pieces. If he has 2 pieces then the girl gets 1 piece from the man and the boy gets 1 piece from the man. How many pieces does the boy have?,There is a boy. There is a girl. A man has 4 pieces. If he has 2 pieces then the girl gets 1 piece from the man and the boy gets 1 piece from the man. How many pieces does the boy have?
There is a man. There is a woman. A bread has 24 slices. If a bread has 2 slices then the man gets 1 slice of the bread and the woman gets 1 slice of the bread. How many slices does the woman have?,There is a man. There is a woman. A bread has 24 slices. If a bread has 2 slices then the man gets 1 slice of the bread and the woman gets 1 slice of the bread. How many slices does the woman have?
There is a mother. There is a father. A bottle has 6 glasses. If a bottle has 2 glasses then the father gets 1 glass from the bottle and the mother gets 1 glass from the bottle. How many glasses does the mother have?,There is a mother. There is a father. A bottle has 6 glasses. If a bottle has 2 glasses then the father gets 1 glass from the bottle and the mother gets 1 glass from the bottle. How many glasses does the mother have?
There is a boyfriend. There is a girlfriend. A wallet has 100 euros. If the wallet has 2 euros then the boyfriend gets 1 euro from the wallet and the girlfriend gets 1 euro from the wallet. How many euros does the boyfriend have?,There is a boyfriend. There is a girlfriend. A wallet has 100 euros. If the wallet has 2 euros then the boyfriend gets 1 euro from the wallet and the girlfriend gets 1 euro from the wallet. How many euros does the boyfriend have?
A man has 10 tickets. If he has 5 tickets then he gets a ride. How many rides does he get?,A man has 10 tickets. If he has 5 tickets then he gets a ride. How many rides does he get?
A school has 100 students. If it has 25 students then it gets a class. How many classes does the school have?,A school has 100 students. If it has 25 students then it gets a class. How many classes does the school have?
A woman has 100 coupons. If she has 20 coupons then she has 1 plate. How many plates does she get?,A woman has 100 coupons. If she has 20 coupons then she has 1 plate. How many plates does she get?
A boy works 48 weeks. If he works 4 weeks then he has 1 free day. How many free days does the boy have?,A boy works 48 weeks. If he works 4 weeks then he has 1 free day. How many free days does the boy have?
A man has 1000 euros. If the man has at least 50 euros then he buys a laptop. How many laptops does the man buy?,A man has 1000 euros. If the man has at least 50 euros then he buys a laptop. How many laptops does the man buy?
A woman has 12 eggs. If she has 2 eggs then she bakes a cake. How many cakes does the woman bake?,A woman has 12 eggs. If she has 2 eggs then she bakes a cake. How many cakes does the woman bake?
An athlete runs 60 minutes. If the athlete runs 10 minutes then the athlete runs 3 laps. How many laps does the athlete run?,An athlete runs 60 minutes. If the athlete runs 10 minutes then the athlete runs 3 laps. How many laps does the athlete run?
A student has 500 euros. If the student has at least 250 euros then the student buys a bike. How many bikes does the student have?,A student has 500 euros. If the student has at least 250 euros then the student buys a bike. How many bikes does the student have?
A man has 1000 euros. If he has at least 50 euros then he buys a laptop for 50 euros. How many euros does the man have?,A man has 1000 euros. If he has at least 50 euros then he buys a laptop for 50 euros. How many euros does the man have?
A woman has 500 dollars. If she has at least 28 dollars then she buys a lipstick for 28 dollars. How many dollars does the woman have?,A woman has 500 dollars. If she has at least 28 dollars then she buys a lipstick for 28 dollars. How many dollars does the woman have?
A man has 100 dollars. If he has at least 30 dollars then he buys a game for 30 dollars. How many dollars does the man have?,A man has 100 dollars. If he has at least 30 dollars then he buys a game for 30 dollars. How many dollars does the man have?
