index,problem,answer
1.1.1,A man has 3 apples and a woman gives 4 apples to the man. How many apples does the man have?,7
1.1.2,A woman has 1 ball and a man gives 9 balls to the woman. How many balls does the woman have?,10
1.1.3,A boy has 8 bananas and a girl gives 1 banana to the boy. How many bananas does the boy have?,9
1.1.4,A girl has 3 melons and a boy gives 6 melons to the girl. How many melons does the girl have?,9
1.2.1,A restaurant has 175 normal chairs and 20 junior chairs. How many chairs does the restaurant have?,195
1.2.2,A store has 375 black shirts and 40 white shirts. How many shirts does the store have?,415
1.2.3,A club has 100 dutch players and 110 belgian players. How many players does the club have?,210
1.2.4,A school has 50 male students and 90 female students. How many students does the school have?,140
1.3.1,A man has 320 brown cookies and 270 white cookies. How many cookies does the man have?,590
1.3.2,A city has 400 old houses and 50 new houses. How many houses does the city have?,450
1.3.3,A zoo has 123 brown animals and 55 white animals. How many animals does the zoo have?,178
1.3.4,A game has 200 male characters and 200 female characters. How many characters does the game have?,400
1.4.1,A man has 2 books and gets 2 books from a library. The man gets 4 books from a friend. How many books does the man have?,8
1.4.2,A woman has 2 pillows and gets 2 pillows from a store. The woman gets 2 pillows from a friend. How many pillows does the woman have?,6
1.4.3,A kid has 4 toys and gets 8 toys from a organization. The kid gets 3 toys from a mother. How many toys does the kid have?,15
1.4.4,A businessman has 2 cars and gets 1 car from a business. The businessman gets 3 cars from a partner. How many cars does the businessman have?,6
2.1.1,A pizzeria has 3 pizzas and a customer buys 1 pizza from the pizzeria. How many pizzas does the pizzeria have?,2
2.1.2,A boy has 15 toys and a friend steals 3 toys from the boy. How many toys does the boy have?,12
2.1.3,A store has 20 shirts and sells 5 shirts. How many shirts does the store have?,15
2.1.4,A man has 20 euros and loses 10 euros. How many euros does the man have?,11
2.2.1,A man has 20 euros. He loses 10 euros. How many euros does the man have?,10
2.2.2,A dog has 2 birds but 1 bird flees from the dog. How many birds does the dog have?,1
2.2.3,A landlord has 10 houses and sells 2 houses. How many houses does the landlord have?,8
2.2.4,A woman has 15 dollars and loses 5 dollars. How many dollars does she have?,10
2.3.1,A man has 1000 ants and sells 213 ants. How many ants does he have?,787
2.3.2,An investor has 1200 bitcoin and sells 444 bitcoin. How many bitcoin does the investor have?,756
2.3.3,A trader has 1500 stocks and sells 1200 stocks. How many stocks does the trader have?,300
2.3.4,A big company has 2211 airplanes and sells 555 airplanes. How many airplanes does the company have?,1656
2.4.1,A teacher has 30 pencils and gives 2 pencils to a girl. The teacher gives 3 pencils to a boy. How many pencils does the teacher have?,25
2.4.1,A mother has 10 cookies and gives 3 cookies to a son. The mother gives 6 cookies to a daughter. How many cookies does the mother have?,1
2.4.1,A girl has 25 coins and gives 6 coins to a friend. The girl gives 12 coins to a mother. How many coins does the girl have?,7
2.4.1,A boy has 25 books and gives 3 books to a friend. The boy gives 9 books to a teacher. How many books does the boy have?,13
3.1.1,There is a boy and a girl. A man has 4 pieces. If he has 2 pieces then the girl gets 1 piece from the man and the boy gets 1 piece from the man. How many pieces does the boy have?,2
3.1.2,There is a man and a woman. A bread has 24 slices. If a bread has 2 slices then the man gets 1 slice of the bread and the woman gets 1 slice of the bread. How many slices does the woman have?,12
3.1.3,There is a mother and a father. A bottle has 6 glasses. If a bottle has 2 glasses then the father gets 1 glass from the bottle and the mother gets 1 glass from the bottle. How many glasses does the mother have?,3
3.1.4,There is a boyfriend and a girlfriend. A wallet has 100 euros. If the wallet has 2 euros then the boyfriend gets 1 euro from the wallet and the girlfriend gets 1 euro from the wallet. How many euros does the boyfriend have?,50
3.2.1,There is a man and he has 10 tickets. If he has 5 tickets then he gets a ride. How many rides does he get?,2
3.2.2,There is a school and it has 100 students. If it has 25 students then it gets a class. How many classes does the school have?,4
3.2.3,There is a woman and she has 100 coupons. If she has 20 coupons then she has 1 plate. How many plates does she get?,5
3.2.4,There is a boy and he works 48 weeks. If he works 4 weeks then he has 1 free day. How many free days does the boy have?,12
3.3.1,There is a man and he has 1000 euros. If the man has at least 50 euros then he buys a laptop. How many laptops does the man buy?,200
3.3.2,There is a woman and she has 12 eggs. If she has 2 eggs then she bakes a cake. How many cakes does the woman bake?,6
3.3.3,There is an athlete and he runs 60 minutes. If the athlete runs 10 minutes then the athlete runs 3 laps. How many laps does the athlete run?,18
3.3.4,There is a student and he has 500 euros. If the student has at least 250 euros then the student buys a bike. How many bikes does the student have?,2
3.4.1,There is a man and he has 1000 euros. If he has at least 50 euros then he buys a laptop for 50 euros. How many euros does the man have?,0
3.4.2,There is a woman and she has 500 dollars. If she has at least 28 dollars then she buys a lipstick for 28 dollars. How many dollars does the woman have?,24
3.4.3,There is a man and he has 100 dollars. If he has at least 30 dollars then he buys a game for 30 dollars. How many dollars does the man have?,10
3.4.4,There is a woman and she has 200 euros. If she has at least 80 euros then she buys a handbag for 80 euros. How many euros does the woman have?,40
4.1.1,A man has 2 cards and each of the cards has 2 hearts. How many hearts do the cards have?,42
4.1.2,A student has 3 books and each of the books has 14 chapters. How many chapters does the student have to read?,4
4.1.3,A grandmother has 7 grandchilderen and each grandchild wants two presents. How many presents does the grandmother buy?,14
4.1.4,A house has 5 doors and each door has 3 locks. How many locks does the house have?,15
4.2.1,A theatre has 25 rows and each row has 20 seats. How many seats does the theatre have?,500
4.2.2,A school has 14 classrooms and each classroom has 28 chairs. How many chairs does the school have?,392
4.2.3,A bunny has 2 baskets and each basket has 14 eggs. How many eggs does the bunny have?,28
4.2.4,An influencer has two accounts and each account has 500 followers. How many followers does the influencer have?,1000
4.3.1,An area has 10 rows and each row has 10 columns. Each column has 2 flowers. How many flowers does the area have?,200
4.3.2,An store has 52 cars and each car has 4 doors. Each door has 1 handle. How many handles does the store have?,208
4.3.3,An area has 10 rows and each row has 10 columns. Each column has 2 flowers. How many flowers does the area have?,200
4.3.4,An man has 2 women and each woman has 3 kids. Each kid needs 1 coat. How many coats does the man have to buy?,6
4.4.1,A year has 365 days and each day has 24 hours. Each hour has 60 minutes. Each minute has 60 seconds. How many seconds does a year have?,31536000
4.4.2,A year has 52 weeks and each week has 7 days. Each day has 24 hours. Each hour has 60 minutes. How many minutes does a year have?,1440
4.4.3,A school has 15 classes and each class has 25 students. Each student has 2 legs. Each leg has 1 shoe. How many shoes does a school have?,750
4.4.4,A village has 50 streets. Each street has 15 houses and each house has 5 beds. Each bed has 1 pillow. How many pillows does a village have?,3750
5.1.1,"There is a library, it has 235 books and a man takes 12 books from the library. A girl gives 10 books to the library. How many books does the library have?",233
