index,problem,answer
1.1.1,A man has 3 apples. A woman gives 4 apples to the man. How many apples does the man have?,7
1.1.2,A woman has 1 ball. A man gives 9 balls to the woman. How many balls does the woman have?,10
1.1.3,A boy has 8 bananas. A girl gives 1 banana to the boy. How many bananas does the boy have?,9
1.1.4,A girl has 3 melons. A boy gives 6 melons to the girl. How many melons does the girl have?,9
1.2.1,A restaurant has 175 normal chairs. The restaurant has 20 junior chairs. How many chairs does the restaurant have?,195
1.2.2,A store has 375 black shirts. The store has 40 white shirts. How many shirts does the store have?,415
1.2.3,A club has 100 dutch players. The club has 110 belgian players. How many players does the club have?,210
1.2.4,A school has 50 male students. The school has 90 female students. How many students does the school have?,140
1.3.1,A man has 320 brown cookies. The man has 270 white cookies. How many cookies does the man have?,590
1.3.2,A city has 400 old houses. The city has 50 new houses. How many houses does the city have?,450
1.3.3,A zoo has 123 brown animals. The zoo has 55 white animals. How many animals does the zoo have?,178
1.3.4,A game has 200 male characters. The game has 200 female characters. How many characters does the game have?,400
1.4.1,A man has 2 books. He gets 2 books from a library. The man gets 4 books from a friend. How many books does the man have?,8
1.4.2,A woman has 2 pillows. She gets 2 pillows from a store. The woman gets 2 pillows from a friend. How many pillows does the woman have?,6
1.4.3,A kid has 4 toys. The kid gets 8 toys from a organization. The kid gets 3 toys from a mother. How many toys does the kid have?,15
1.4.4,A businessman has 2 cars. The businessman gets 1 car from a business. The businessman gets 3 cars from a partner. How many cars does the businessman have?,6
2.1.1,A pizzeria has 3 pizzas. A customer buys 1 pizza from the pizzeria. How many pizzas does the pizzeria have?,2
2.1.2,A boy has 15 toys. A friend steals 3 toys from the boy. How many toys does the boy have?,12
2.1.3,A store has 20 shirts. The store sells 5 shirts. How many shirts does the store have?,15
2.1.4,An aquarium has 13 fish. The aquarium loses 2 fish. How many fish does the aquarium have?,11
2.2.1,A man has 20 euros. He loses 10 euros. How many euros does the man have?,10
2.2.2,A dog has 2 birds. 1 bird flees from the dog. How many birds does the dog have?,1
2.2.3,A landlord has 10 houses. The landlord sells 2 houses. How many houses does the landlord have?,8
2.2.4,A woman has 15 dollars. She loses 5 dollars. How many dollars does she have?,10
2.3.1,A man has 1000 ants. He sells 213 ants. How many ants does he have?,787
2.3.2,An investor has 1200 bitcoin. The investor sells 444 bitcoin. How many bitcoin does the investor have?,756
2.3.3,A trader has 1500 stocks. The trader sells 1200 stocks. How many stocks does the trader have?,300
2.3.4,A big company has 2211 airplanes. The company sells 555 airplanes. How many airplanes does the company have?,1656
2.4.1,A teacher has 30 pencils. The teacher gives 2 pencils to a girl. The teacher gives 3 pencils to a boy. How many pencils does the teacher have?,25
2.4.1,A mother has 10 cookies. The mother gives 3 cookies to a son. The mother gives 6 cookies to a daughter. How many cookies does the mother have?,1
